smoothed_pct_hes_waitlater,smoothed_hes_waitlater_se,sample_size,country,iso_code,gid_0,survey_date
0.414922,0.011451,1858.0,Netherlands,NLD,NLD,20210209
0.535838,0.016026,959.0,New Zealand,NZL,NZL,20210209
0.472316,0.026944,348.0,Nicaragua,NIC,NIC,20210209
0.52845,0.014977,1115.0,Nigeria,NGA,NGA,20210209
0.460187,0.015133,1093.0,Norway,NOR,NOR,20210209
0.524603,0.017009,870.0,Pakistan,PAK,PAK,20210209
0.64852,0.033584,221.0,Palestine,PSE,PSE,20210209
0.53255,0.028987,302.0,Panama,PAN,PAN,20210209
0.490588,0.022783,490.0,Paraguay,PRY,PRY,20210209
0.519979,0.009762,2620.0,Peru,PER,PER,20210209
0.60816,0.008663,3178.0,Philippines,PHL,PHL,20210209
0.431359,0.010627,2176.0,Poland,POL,POL,20210209
0.366682,0.009906,2387.0,Portugal,PRT,PRT,20210209
0.625661,0.021787,513.0,"Puerto Rico, U.S.",PRI,PRI,20210209
0.627007,0.045479,116.0,Qatar,QAT,QAT,20210209
0.42078,0.012346,1605.0,Romania,ROU,ROU,20210209
0.423384,0.008796,3173.0,Russia,RUS,RUS,20210209
0.516579,0.019818,637.0,Saudi Arabia,SAU,SAU,20210209
0.449918,0.017471,812.0,Serbia,SRB,SRB,20210209
0.507229,0.033752,221.0,Singapore,SGP,SGP,20210209
0.455774,0.017175,842.0,Slovakia,SVK,SVK,20210209
0.452704,0.024634,406.0,Slovenia,SVN,SVN,20210209
0.52439,0.012055,1724.0,South Africa,ZAF,ZAF,20210209
0.615287,0.014067,1195.0,South Korea,KOR,KOR,20210209
0.377848,0.007842,3828.0,Spain,ESP,ESP,20210209
0.423119,0.032943,225.0,Sri Lanka,LKA,LKA,20210209
0.546803,0.029897,282.0,Sudan,SDN,SDN,20210209
0.452671,0.009795,2590.0,Sweden,SWE,SWE,20210209
0.454026,0.014048,1260.0,Switzerland,CHE,CHE,20210209
0.674889,0.006899,4625.0,Taiwan,TWN,TWN,20210209
0.472086,0.037434,179.0,Tanzania,TZA,TZA,20210209
0.600379,0.00885,3072.0,Thailand,THA,THA,20210209
0.49117,0.01712,867.0,Tunisia,TUN,TUN,20210209
0.548224,0.009233,2922.0,Turkey,TUR,TUR,20210209
0.410557,0.00815,3670.0,Ukraine,UKR,UKR,20210209
0.612602,0.027366,321.0,United Arab Emirates,ARE,ARE,20210209
0.375313,0.010339,2212.0,United Kingdom,GBR,GBR,20210209
0.53869,0.015553,1033.0,Uruguay,URY,URY,20210209
0.451033,0.033941,235.0,Uzbekistan,UZB,UZB,20210209
0.542635,0.01335,1400.0,Venezuela,VEN,VEN,20210209
0.421675,0.006513,5753.0,Vietnam,VNM,VNM,20210209
0.491499,0.042403,141.0,Yemen,YEM,YEM,20210209
0.479312,0.037162,210.0,Afghanistan,AFG,AFG,20210210
0.368875,0.032004,224.0,Albania,ALB,ALB,20210210
0.47672,0.014785,1160.0,Algeria,DZA,DZA,20210210
0.559201,0.042958,147.0,Angola,AGO,AGO,20210210
0.516172,0.006675,5606.0,Argentina,ARG,ARG,20210210
0.447506,0.04845,107.0,Armenia,ARM,ARM,20210210
0.571453,0.010112,2916.0,Australia,AUS,AUS,20210210
0.486732,0.014016,1277.0,Austria,AUT,AUT,20210210
0.416657,0.03258,237.0,Azerbaijan,AZE,AZE,20210210
0.486537,0.015713,1036.0,Bangladesh,BGD,BGD,20210210
