smoothed_pct_hes_dontbelieve,smoothed_hes_dontbelieve_se,sample_size,country,iso_code,gid_0,survey_date
0.075158,0.011424,541.0,Costa Rica,CRI,CRI,20210210
0.182073,0.024951,245.0,C̫te d'Ivoire,CIV,CIV,20210210
0.231278,0.015344,751.0,Croatia,HRV,HRV,20210210
0.230553,0.008865,2265.0,Czech Republic,CZE,CZE,20210210
0.171493,0.03327,130.0,Democratic Republic of the Congo,COD,COD,20210210
0.165848,0.011844,969.0,Denmark,DNK,DNK,20210210
0.130475,0.011962,794.0,Dominican Republic,DOM,DOM,20210210
0.073461,0.005691,2133.0,Ecuador,ECU,ECU,20210210
0.16259,0.007354,2515.0,Egypt,EGY,EGY,20210210
0.066006,0.008284,924.0,El Salvador,SLV,SLV,20210210
0.216875,0.025776,248.0,Ethiopia,ETH,ETH,20210210
0.141429,0.017489,411.0,Finland,FIN,FIN,20210210
0.141479,0.003347,10856.0,France,FRA,FRA,20210210
0.167538,0.004113,8251.0,Germany,DEU,DEU,20210210
0.151658,0.013217,759.0,Ghana,GHA,GHA,20210210
0.108756,0.00711,1941.0,Greece,GRC,GRC,20210210
0.148464,0.012519,800.0,Guatemala,GTM,GTM,20210210
0.228276,0.040455,107.0,Haiti,HTI,HTI,20210210
0.073619,0.009418,766.0,Honduras,HND,HND,20210210
0.10212,0.01293,549.0,Hong Kong,HKG,HKG,20210210
0.241841,0.008032,2857.0,Hungary,HUN,HUN,20210210
0.132197,0.004099,6842.0,India,IND,IND,20210210
0.148598,0.005539,4131.0,Indonesia,IDN,IDN,20210210
0.23205,0.011965,1250.0,Iraq,IRQ,IRQ,20210210
0.123212,0.012907,654.0,Ireland,IRL,IRL,20210210
0.246276,0.017503,601.0,Israel,ISR,ISR,20210210
0.085687,0.003473,6474.0,Italy,ITA,ITA,20210210
0.033997,0.001153,24837.0,Japan,JPN,JPN,20210210
0.23282,0.015529,750.0,Jordan,JOR,JOR,20210210
0.215024,0.017917,549.0,Kazakhstan,KAZ,KAZ,20210210
0.11519,0.011345,795.0,Kenya,KEN,KEN,20210210
0.147742,0.025775,194.0,Kuwait,KWT,KWT,20210210
0.15363,0.025525,195.0,Kyrgyzstan,KGZ,KGZ,20210210
0.111874,0.013767,524.0,Lebanon,LBN,LBN,20210210
0.181675,0.018247,455.0,Libya,LBY,LBY,20210210
0.064597,0.005681,1899.0,Malaysia,MYS,MYS,20210210
0.2163,0.036887,105.0,Mali,MLI,MLI,20210210
0.050127,0.001928,12831.0,Mexico,MEX,MEX,20210210
0.186906,0.021499,331.0,Moldova,MDA,MDA,20210210
0.228736,0.019532,478.0,Morocco,MAR,MAR,20210210
0.068892,0.013523,355.0,Mozambique,MOZ,MOZ,20210210
0.07972,0.027502,102.0,Myanmar,MMR,MMR,20210210
0.092825,0.011817,578.0,Nepal,NPL,NPL,20210210
0.274889,0.009229,2342.0,Netherlands,NLD,NLD,20210210
