smoothed_trust_govt,smoothed_trust_govt_se,sample_size,country,iso_code,gid_0,survey_date
0.348666,0.022066,484.0,Palestine,PSE,PSE,20201224
0.498056,0.017558,813.0,Panama,PAN,PAN,20201224
0.403455,0.019233,663.0,Paraguay,PRY,PRY,20201224
0.443805,0.009647,2659.0,Peru,PER,PER,20201224
0.424185,0.007994,3830.0,Philippines,PHL,PHL,20201224
0.236012,0.007039,3653.0,Poland,POL,POL,20201224
0.50709,0.008851,3244.0,Portugal,PRT,PRT,20201224
0.573303,0.012275,1646.0,"Puerto Rico, U.S.",PRI,PRI,20201224
0.603429,0.03279,257.0,Qatar,QAT,QAT,20201224
0.279535,0.008059,3106.0,Romania,ROU,ROU,20201224
0.181585,0.0062,3887.0,Russia,RUS,RUS,20201224
0.525291,0.014296,1226.0,Saudi Arabia,SAU,SAU,20201224
0.205025,0.01173,1199.0,Serbia,SRB,SRB,20201224
0.543058,0.020516,594.0,Singapore,SGP,SGP,20201224
0.26007,0.011171,1532.0,Slovakia,SVK,SVK,20201224
0.208833,0.017262,556.0,Slovenia,SVN,SVN,20201224
0.387482,0.008076,3677.0,South Africa,ZAF,ZAF,20201224
0.62716,0.009464,2600.0,South Korea,KOR,KOR,20201224
0.439864,0.00561,7844.0,Spain,ESP,ESP,20201224
0.606083,0.02316,442.0,Sri Lanka,LKA,LKA,20201224
0.406396,0.019493,639.0,Sudan,SDN,SDN,20201224
0.463487,0.005429,8789.0,Sweden,SWE,SWE,20201224
0.310506,0.01008,2112.0,Switzerland,CHE,CHE,20201224
0.384571,0.006376,5827.0,Taiwan,TWN,TWN,20201224
0.555388,0.04775,111.0,Tanzania,TZA,TZA,20201224
0.569819,0.004616,11512.0,Thailand,THA,THA,20201224
0.353972,0.016219,869.0,Tunisia,TUN,TUN,20201224
0.381726,0.006048,6463.0,Turkey,TUR,TUR,20201224
0.222865,0.005987,4833.0,Ukraine,UKR,UKR,20201224
0.573338,0.016074,949.0,United Arab Emirates,ARE,ARE,20201224
0.39123,0.005309,8459.0,United Kingdom,GBR,GBR,20201224
0.476788,0.010667,2207.0,Uruguay,URY,URY,20201224
0.332757,0.0299,251.0,Uzbekistan,UZB,UZB,20201224
0.383616,0.010501,2173.0,Venezuela,VEN,VEN,20201224
0.659859,0.007171,4378.0,Vietnam,VNM,VNM,20201224
0.257923,0.026752,275.0,Yemen,YEM,YEM,20201224
0.516808,0.025633,391.0,Afghanistan,AFG,AFG,20201225
0.366831,0.030059,265.0,Albania,ALB,ALB,20201225
0.295289,0.01268,1299.0,Algeria,DZA,DZA,20201225
0.490782,0.036495,192.0,Angola,AGO,AGO,20201225
0.408799,0.005241,8871.0,Argentina,ARG,ARG,20201225
0.200388,0.034569,135.0,Armenia,ARM,ARM,20201225
0.462491,0.00633,6255.0,Australia,AUS,AUS,20201225
0.281488,0.008806,2616.0,Austria,AUT,AUT,20201225
0.238194,0.021879,389.0,Azerbaijan,AZE,AZE,20201225
0.631961,0.010944,1967.0,Bangladesh,BGD,BGD,20201225
0.143263,0.011135,994.0,Belarus,BLR,BLR,20201225
0.308412,0.008937,2745.0,Belgium,BEL,BEL,20201225
0.428673,0.010454,2247.0,Bolivia,BOL,BOL,20201225
0.194811,0.01907,461.0,Bosnia and Herzegovina,BIH,BIH,20201225
0.527523,0.002312,46638.0,Brazil,BRA,BRA,20201225
0.291248,0.012407,1348.0,Bulgaria,BGR,BGR,20201225
0.386813,0.042469,134.0,Burkina Faso,BFA,BFA,20201225
0.466602,0.033545,227.0,Cambodia,KHM,KHM,20201225
0.381812,0.035909,181.0,Cameroon,CMR,CMR,20201225
0.431488,0.004932,10127.0,Canada,CAN,CAN,20201225
0.43738,0.007241,4689.0,Chile,CHL,CHL,20201225
0.528747,0.005035,9844.0,Colombia,COL,COL,20201225
0.645444,0.010419,2107.0,Costa Rica,CRI,CRI,20201225
0.44481,0.032954,231.0,C̫te d'Ivoire,CIV,CIV,20201225
0.150967,0.009552,1397.0,Croatia,HRV,HRV,20201225
0.220267,0.00758,2990.0,Czech Republic,CZE,CZE,20201225
0.216732,0.040468,107.0,Democratic Republic of the Congo,COD,COD,20201225
0.528131,0.007109,4969.0,Denmark,DNK,DNK,20201225
0.396185,0.013445,1330.0,Dominican Republic,DOM,DOM,20201225
0.427663,0.008298,3564.0,Ecuador,ECU,ECU,20201225
0.373402,0.00595,6629.0,Egypt,EGY,EGY,20201225
0.522732,0.012295,1649.0,El Salvador,SLV,SLV,20201225
0.60571,0.028883,291.0,Ethiopia,ETH,ETH,20201225
0.516466,0.013191,1454.0,Finland,FIN,FIN,20201225
0.295927,0.003928,13526.0,France,FRA,FRA,20201225
0.340139,0.003556,17768.0,Germany,DEU,DEU,20201225
0.471693,0.01997,633.0,Ghana,GHA,GHA,20201225
0.326794,0.009399,2511.0,Greece,GRC,GRC,20201225
0.507508,0.012886,1522.0,Guatemala,GTM,GTM,20201225
0.388648,0.01522,1033.0,Honduras,HND,HND,20201225
0.323676,0.013784,1152.0,Hong Kong,HKG,HKG,20201225
0.15926,0.004985,5374.0,Hungary,HUN,HUN,20201225
0.619023,0.003826,16124.0,India,IND,IND,20201225
0.372183,0.005262,8454.0,Indonesia,IDN,IDN,20201225
0.338755,0.010626,2024.0,Iraq,IRQ,IRQ,20201225
0.419641,0.01065,2159.0,Ireland,IRL,IRL,20201225
0.407621,0.008745,3258.0,Israel,ISR,ISR,20201225
0.402304,0.003867,16149.0,Italy,ITA,ITA,20201225
0.471819,0.002775,32372.0,Japan,JPN,JPN,20201225
0.304109,0.012167,1447.0,Jordan,JOR,JOR,20201225
0.183113,0.016976,521.0,Kazakhstan,KAZ,KAZ,20201225
0.552046,0.012691,1536.0,Kenya,KEN,KEN,20201225
0.447722,0.026604,358.0,Kuwait,KWT,KWT,20201225
0.321332,0.033504,207.0,Kyrgyzstan,KGZ,KGZ,20201225
0.57611,0.041442,145.0,Laos,LAO,LAO,20201225
0.288662,0.018187,624.0,Lebanon,LBN,LBN,20201225
0.438598,0.017292,830.0,Libya,LBY,LBY,20201225
0.552899,0.009031,3031.0,Malaysia,MYS,MYS,20201225
0.603641,0.040803,151.0,Mali,MLI,MLI,20201225
0.560985,0.002616,35977.0,Mexico,MEX,MEX,20201225
0.208824,0.018799,463.0,Moldova,MDA,MDA,20201225
0.40484,0.015595,997.0,Morocco,MAR,MAR,20201225
0.535346,0.040344,158.0,Mozambique,MOZ,MOZ,20201225
0.741792,0.012249,1279.0,Myanmar,MMR,MMR,20201225
0.533762,0.015252,1078.0,Nepal,NPL,NPL,20201225
0.267638,0.005459,6647.0,Netherlands,NLD,NLD,20201225
0.491327,0.011125,2019.0,New Zealand,NZL,NZL,20201225
