pct_trust_doctors,trust_doctors_se,pct_trust_doctors_unw,trust_doctors_se_unw,sample_size,country,iso_code,gid_0,survey_date
0.43911,0.02926,0.501706,0.029043,293.0,Bulgaria,BGR,BGR,20210209
0.622817,0.010958,0.630603,0.011004,1941.0,Canada,CAN,CAN,20210209
0.720872,0.01516,0.716384,0.015087,885.0,Chile,CHL,CHL,20210209
0.707321,0.010636,0.721847,0.0108,1776.0,Colombia,COL,COL,20210209
0.722827,0.026143,0.751825,0.02709,274.0,Costa Rica,CRI,CRI,20210209
0.427705,0.033632,0.466063,0.033356,221.0,Croatia,HRV,HRV,20210209
0.496543,0.01909,0.496361,0.01909,687.0,Czech Republic,CZE,CZE,20210209
0.563738,0.016631,0.564045,0.016633,890.0,Denmark,DNK,DNK,20210209
0.664786,0.033082,0.673267,0.033297,202.0,Dominican Republic,DOM,DOM,20210209
0.640321,0.01697,0.672324,0.017351,766.0,Ecuador,ECU,ECU,20210209
0.469861,0.020111,0.521036,0.020093,618.0,Egypt,EGY,EGY,20210209
0.678432,0.027516,0.682927,0.027619,287.0,El Salvador,SLV,SLV,20210209
0.614044,0.03061,0.639676,0.031039,247.0,Finland,FIN,FIN,20210209
0.498733,0.008754,0.497395,0.008754,3263.0,France,FRA,FRA,20210209
0.518582,0.008813,0.500621,0.008807,3220.0,Germany,DEU,DEU,20210209
0.619629,0.035173,0.6,0.034855,195.0,Ghana,GHA,GHA,20210209
0.64995,0.017117,0.686141,0.017594,736.0,Greece,GRC,GRC,20210209
0.668421,0.026161,0.694534,0.026739,311.0,Guatemala,GTM,GTM,20210209
0.749175,0.027422,0.749004,0.027416,251.0,Honduras,HND,HND,20210209
0.553508,0.041785,0.545455,0.041718,143.0,Hong Kong,HKG,HKG,20210209
0.544805,0.014176,0.591854,0.014364,1203.0,Hungary,HUN,HUN,20210209
0.622304,0.010095,0.635444,0.010169,2274.0,India,IND,IND,20210209
0.473113,0.014533,0.459643,0.014559,1177.0,Indonesia,IDN,IDN,20210209
0.495103,0.027445,0.462236,0.027523,331.0,Iraq,IRQ,IRQ,20210209
0.703788,0.022772,0.701235,0.022716,405.0,Ireland,IRL,IRL,20210209
0.464111,0.040943,0.456376,0.040994,149.0,Israel,ISR,ISR,20210209
0.768788,0.007316,0.762637,0.00725,3383.0,Italy,ITA,ITA,20210209
0.63712,0.006245,0.640474,0.006258,5905.0,Japan,JPN,JPN,20210209
0.442071,0.035897,0.463918,0.035748,194.0,Jordan,JOR,JOR,20210209
0.345579,0.042466,0.276786,0.045138,112.0,Kazakhstan,KAZ,KAZ,20210209
0.663677,0.030479,0.655738,0.030308,244.0,Kenya,KEN,KEN,20210209
0.62557,0.039181,0.651007,0.039783,149.0,Lebanon,LBN,LBN,20210209
0.529634,0.041869,0.589928,0.042488,139.0,Libya,LBY,LBY,20210209
0.593809,0.0202,0.617241,0.02041,580.0,Malaysia,MYS,MYS,20210209
0.799175,0.004527,0.818898,0.004709,7239.0,Mexico,MEX,MEX,20210209
0.594118,0.039178,0.594937,0.039191,158.0,Morocco,MAR,MAR,20210209
0.703136,0.036979,0.664634,0.035785,164.0,Nepal,NPL,NPL,20210209
0.487857,0.014383,0.482616,0.014388,1208.0,Netherlands,NLD,NLD,20210209
0.593799,0.02507,0.596354,0.025095,384.0,New Zealand,NZL,NZL,20210209
0.66735,0.038619,0.666667,0.038599,150.0,Nicaragua,NIC,NIC,20210209
0.598946,0.024406,0.628499,0.024754,393.0,Nigeria,NGA,NGA,20210209
0.567204,0.01669,0.554054,0.016636,888.0,Norway,NOR,NOR,20210209
0.626798,0.025126,0.681159,0.026077,345.0,Pakistan,PAK,PAK,20210209
0.728106,0.039976,0.713178,0.039327,129.0,Panama,PAN,PAN,20210209
0.583612,0.038777,0.624204,0.039468,157.0,Paraguay,PRY,PRY,20210209
0.730233,0.012434,0.744318,0.01265,1232.0,Peru,PER,PER,20210209
0.624726,0.014723,0.645222,0.0149,1057.0,Philippines,PHL,PHL,20210209
0.484838,0.016289,0.506893,0.016283,943.0,Poland,POL,POL,20210209
0.745707,0.012139,0.73525,0.011981,1322.0,Portugal,PRT,PRT,20210209
0.780103,0.02406,0.757862,0.023262,318.0,"Puerto Rico, U.S.",PRI,PRI,20210209
0.48916,0.018808,0.516266,0.018813,707.0,Romania,ROU,ROU,20210209
0.352182,0.016336,0.365517,0.016203,870.0,Russia,RUS,RUS,20210209
0.566192,0.031359,0.618257,0.031991,241.0,Saudi Arabia,SAU,SAU,20210209
0.462998,0.029948,0.460432,0.02996,278.0,Serbia,SRB,SRB,20210209
0.702284,0.042693,0.738318,0.044412,107.0,Singapore,SGP,SGP,20210209
