smoothed_trust_politicians,smoothed_trust_politicians_se,sample_size,country,iso_code,gid_0,survey_date
0.118539,0.023214,199.0,Kyrgyzstan,KGZ,KGZ,20201225
0.259289,0.036771,142.0,Laos,LAO,LAO,20201225
0.09569,0.011806,620.0,Lebanon,LBN,LBN,20201225
0.271439,0.015653,817.0,Libya,LBY,LBY,20201225
0.276844,0.00816,3019.0,Malaysia,MYS,MYS,20201225
0.265119,0.03763,145.0,Mali,MLI,MLI,20201225
0.162806,0.001953,35667.0,Mexico,MEX,MEX,20201225
0.066673,0.01172,455.0,Moldova,MDA,MDA,20201225
0.189577,0.012544,971.0,Morocco,MAR,MAR,20201225
0.275618,0.036256,156.0,Mozambique,MOZ,MOZ,20201225
0.445921,0.014024,1261.0,Myanmar,MMR,MMR,20201225
0.189651,0.012074,1065.0,Nepal,NPL,NPL,20201225
0.107684,0.003833,6631.0,Netherlands,NLD,NLD,20201225
0.162485,0.008255,2006.0,New Zealand,NZL,NZL,20201225
0.130834,0.011555,854.0,Nicaragua,NIC,NIC,20201225
