smoothed_hesitant_sideeffects,smoothed_hesitant_sideeffects_se,sample_size,country,iso_code,gid_0,survey_date
0.330454,0.006917,4630.0,South Africa,ZAF,ZAF,20210117
0.210806,0.007414,3043.0,South Korea,KOR,KOR,20210117
0.112641,0.002719,13534.0,Spain,ESP,ESP,20210117
0.156265,0.015874,530.0,Sri Lanka,LKA,LKA,20210117
0.239867,0.015457,754.0,Sudan,SDN,SDN,20210117
0.107256,0.002711,13050.0,Sweden,SWE,SWE,20210117
0.26425,0.007965,3107.0,Switzerland,CHE,CHE,20210117
0.270768,0.004971,8004.0,Taiwan,TWN,TWN,20210117
0.236874,0.032766,170.0,Tanzania,TZA,TZA,20210117
0.129763,0.003269,10572.0,Thailand,THA,THA,20210117
0.418608,0.011999,1687.0,Tunisia,TUN,TUN,20210117
0.263768,0.005598,6205.0,Turkey,TUR,TUR,20210117
0.422631,0.006012,6752.0,Ukraine,UKR,UKR,20210117
0.17186,0.010168,1385.0,United Arab Emirates,ARE,ARE,20210117
0.084614,0.002428,13139.0,United Kingdom,GBR,GBR,20210117
0.26366,0.008584,2635.0,Uruguay,URY,URY,20210117
0.397862,0.0264,347.0,Uzbekistan,UZB,UZB,20210117
0.270455,0.008127,3014.0,Venezuela,VEN,VEN,20210117
0.1191,0.004207,5940.0,Vietnam,VNM,VNM,20210117
0.229456,0.026256,263.0,Yemen,YEM,YEM,20210117
0.172835,0.016459,530.0,Afghanistan,AFG,AFG,20210118
0.240942,0.022431,358.0,Albania,ALB,ALB,20210118
0.429813,0.011864,1743.0,Algeria,DZA,DZA,20210118
0.215829,0.024713,275.0,Angola,AGO,AGO,20210118
0.232461,0.003645,13436.0,Argentina,ARG,ARG,20210118
0.384181,0.035707,189.0,Armenia,ARM,ARM,20210118
0.181546,0.00418,8539.0,Australia,AUS,AUS,20210118
0.233465,0.006337,4577.0,Austria,AUT,AUT,20210118
0.48119,0.024547,416.0,Azerbaijan,AZE,AZE,20210118
0.166597,0.008439,1968.0,Bangladesh,BGD,BGD,20210118
0.487469,0.013763,1319.0,Belarus,BLR,BLR,20210118
0.169387,0.005785,4284.0,Belgium,BEL,BEL,20210118
0.292854,0.040412,130.0,Benin,BEN,BEN,20210118
0.237685,0.006858,3884.0,Bolivia,BOL,BOL,20210118
0.312676,0.017761,717.0,Bosnia and Herzegovina,BIH,BIH,20210118
0.146113,0.001308,72932.0,Brazil,BRA,BRA,20210118
