smoothed_pct_hes_cost,smoothed_hes_cost_se,sample_size,country,iso_code,gid_0,survey_date
0.030724,0.004328,1605.0,Romania,ROU,ROU,20210209
0.029186,0.003004,3173.0,Russia,RUS,RUS,20210209
0.087963,0.01125,637.0,Saudi Arabia,SAU,SAU,20210209
0.023727,0.005371,812.0,Serbia,SRB,SRB,20210209
0.048744,0.014664,221.0,Singapore,SGP,SGP,20210209
0.016633,0.004368,842.0,Slovakia,SVK,SVK,20210209
0.026007,0.007851,406.0,Slovenia,SVN,SVN,20210209
0.129058,0.008077,1724.0,South Africa,ZAF,ZAF,20210209
0.083383,0.007934,1195.0,South Korea,KOR,KOR,20210209
0.030383,0.002772,3828.0,Spain,ESP,ESP,20210209
0.085261,0.018851,225.0,Sri Lanka,LKA,LKA,20210209
0.18179,0.023523,282.0,Sudan,SDN,SDN,20210209
0.01969,0.002738,2590.0,Sweden,SWE,SWE,20210209
0.037377,0.005363,1260.0,Switzerland,CHE,CHE,20210209
0.120692,0.004798,4625.0,Taiwan,TWN,TWN,20210209
0.151356,0.027018,179.0,Tanzania,TZA,TZA,20210209
0.284113,0.008155,3072.0,Thailand,THA,THA,20210209
0.077103,0.009196,867.0,Tunisia,TUN,TUN,20210209
0.065288,0.004583,2922.0,Turkey,TUR,TUR,20210209
0.135831,0.005669,3670.0,Ukraine,UKR,UKR,20210209
0.092855,0.016431,321.0,United Arab Emirates,ARE,ARE,20210209
0.017955,0.00284,2212.0,United Kingdom,GBR,GBR,20210209
0.044977,0.006484,1033.0,Uruguay,URY,URY,20210209
0.100813,0.020965,235.0,Uzbekistan,UZB,UZB,20210209
0.250413,0.011613,1400.0,Venezuela,VEN,VEN,20210209
0.264795,0.005817,5753.0,Vietnam,VNM,VNM,20210209
0.185059,0.032898,141.0,Yemen,YEM,YEM,20210209
0.198618,0.028969,210.0,Afghanistan,AFG,AFG,20210210
0.064181,0.0161,224.0,Albania,ALB,ALB,20210210
0.063822,0.007156,1160.0,Algeria,DZA,DZA,20210210
0.12081,0.027703,147.0,Angola,AGO,AGO,20210210
0.093076,0.003877,5606.0,Argentina,ARG,ARG,20210210
0.065846,0.024362,107.0,Armenia,ARM,ARM,20210210
0.060092,0.004844,2916.0,Australia,AUS,AUS,20210210
0.019219,0.003873,1277.0,Austria,AUT,AUT,20210210
0.051015,0.014548,237.0,Azerbaijan,AZE,AZE,20210210
0.135309,0.010752,1036.0,Bangladesh,BGD,BGD,20210210
0.042747,0.007864,702.0,Belarus,BLR,BLR,20210210
0.031958,0.004631,1435.0,Belgium,BEL,BEL,20210210
0.153932,0.009273,1503.0,Bolivia,BOL,BOL,20210210
0.058785,0.012765,353.0,Bosnia and Herzegovina,BIH,BIH,20210210
0.056087,0.002019,13048.0,Brazil,BRA,BRA,20210210
0.040672,0.00546,1337.0,Bulgaria,BGR,BGR,20210210
0.118956,0.022639,206.0,Cameroon,CMR,CMR,20210210
0.047463,0.003347,4056.0,Canada,CAN,CAN,20210210
0.079555,0.005848,2159.0,Chile,CHL,CHL,20210210
0.12309,0.004655,5003.0,Colombia,COL,COL,20210210
0.160947,0.015884,541.0,Costa Rica,CRI,CRI,20210210
0.098199,0.019985,245.0,C̫te d'Ivoire,CIV,CIV,20210210
0.042893,0.007361,751.0,Croatia,HRV,HRV,20210210
0.037037,0.003967,2265.0,Czech Republic,CZE,CZE,20210210
0.063121,0.022197,130.0,Democratic Republic of the Congo,COD,COD,20210210
0.018018,0.004253,969.0,Denmark,DNK,DNK,20210210
