pct_hes_dontlike,hes_dontlike_se,pct_hes_dontlike_unw,hes_dontlike_se_unw,sample_size,country,iso_code,gid_0,survey_date
0.053244,0.011581,0.051771,0.011736,367.0,Greece,GRC,GRC,20210210
0.072347,0.022448,0.090909,0.020229,165.0,Guatemala,GTM,GTM,20210210
0.080995,0.021634,0.074324,0.022502,148.0,Honduras,HND,HND,20210210
0.056965,0.024657,0.072072,0.022099,111.0,Hong Kong,HKG,HKG,20210210
0.131607,0.013589,0.123939,0.013941,589.0,Hungary,HUN,HUN,20210210
0.047416,0.007041,0.071958,0.005791,1348.0,India,IND,IND,20210210
0.063633,0.009503,0.081731,0.008468,832.0,Indonesia,IDN,IDN,20210210
0.09038,0.019825,0.1,0.018947,230.0,Iraq,IRQ,IRQ,20210210
0.107529,0.028247,0.098214,0.029403,112.0,Ireland,IRL,IRL,20210210
0.121366,0.032754,0.130841,0.031718,107.0,Israel,ISR,ISR,20210210
