,CLI,Flu,Mask,Contact,Finance,Anosmia,Vaccine_acpt,Covid_Vaccine,Trust_fam,Trust_Healthcare,Trust_who,Trust_govt,Trust_politicians,Twodoses,concerned_sideeffects,hesitant_sideeffects,modified_acceptance,access_wash,wash_hands_24h_3to6,wash_hands_24h_7orMore,cmty_covid
150,0.002543,0.0032,0.938905,0.536407,0.346275,0.008735,,,,,,,,,,,,0.997001,0.352128,0.591741,0.047905
151,0.002573,0.003391,0.939375,0.53312,0.348654,0.008296,,,,,,,,,,,,0.996963,0.356482,0.585957,0.047943
152,0.002345,0.003314,0.941087,0.535269,0.348181,0.008084,,,,,,,,,,,,0.996884,0.355516,0.588066,0.048361
153,0.002368,0.003369,0.942767,0.533552,0.348134,0.008142,,,,,,,,,,,,0.997032,0.360522,0.582218,0.05005
154,0.002498,0.003273,0.945761,0.530587,0.348998,0.008841,,,,,,,,,,,,0.997271,0.361203,0.580225,0.051473
155,0.002407,0.003022,0.947473,0.527058,0.348719,0.008479,,,,,,,,,,,,0.997435,0.363866,0.577762,0.053657
156,0.002787,0.003249,0.948634,0.527631,0.351195,0.007958,,,,,,,,,,,,0.997615,0.363634,0.57764,0.054596
157,0.002725,0.003184,0.948373,0.52566,0.353614,0.007882,,,,,,,,,,,,0.997511,0.364201,0.57672,0.055175
158,0.002632,0.003074,0.950767,0.524786,0.357008,0.008313,,,,,,,,,,,,0.997514,0.362083,0.580096,0.056711
159,0.002871,0.003141,0.951266,0.517495,0.359609,0.00848,,,,,,,,,,,,0.997501,0.36179,0.579773,0.058893
160,0.003129,0.003392,0.953244,0.513495,0.361209,0.0088,,,,,,,,,,,,0.997579,0.36049,0.582339,0.060433
161,0.002962,0.003407,0.953223,0.509441,0.363578,0.008321,,,,,,,,,,,,0.99773,0.360588,0.582351,0.061758
162,0.003105,0.00373,0.953842,0.508068,0.367827,0.008483,,,,,,,,,,,,0.997702,0.357293,0.585871,0.063016
163,0.003103,0.003752,0.957211,0.503575,0.36839,0.008698,,,,,,,,,,,,0.99767,0.360882,0.582088,0.064855
164,0.003228,0.003766,0.958884,0.497018,0.368882,0.008743,,,,,,,,,,,,0.997831,0.361854,0.581014,0.067734
165,0.003546,0.003971,0.960222,0.493966,0.370115,0.008175,,,,,,,,,,,,0.997716,0.36451,0.576822,0.071071
166,0.003549,0.004052,0.962731,0.489783,0.371987,0.008728,,,,,,,,,,,,0.997611,0.365102,0.5766,0.073434
167,0.003481,0.004081,0.965038,0.48481,0.373084,0.009111,,,,,,,,,,,,0.997751,0.36566,0.576043,0.075795
168,0.003627,0.004143,0.967995,0.479794,0.377525,0.009535,,,,,,,,,,,,0.997582,0.366797,0.575175,0.079064
169,0.003801,0.00437,0.970657,0.475488,0.379397,0.009441,,,,,,,,,,,,0.997658,0.368783,0.573411,0.082929
170,0.003784,0.004576,0.97081,0.46773,0.383617,0.010532,,,,,,,,,,,,0.997481,0.367207,0.57542,0.086917
171,0.003642,0.004548,0.972211,0.466103,0.386434,0.010563,,,,,,,,,,,,0.99752,0.368007,0.574479,0.091278
172,0.003746,0.004684,0.971885,0.460046,0.389581,0.011375,,,,,,,,,,,,0.997674,0.367324,0.575066,0.09484
173,0.003878,0.004837,0.971456,0.456671,0.393163,0.011044,,,,,,,,,,,,0.997907,0.366507,0.575677,0.098827
174,0.004347,0.005121,0.970746,0.450929,0.397648,0.011173,,,,,,,,,,,,0.997903,0.365674,0.576472,0.105496
175,0.005239,0.006118,0.969728,0.448646,0.396415,0.011654,,,,,,,,,,,,0.997877,0.367367,0.576467,0.112965
176,0.005513,0.006272,0.968223,0.444332,0.395893,0.011806,,,,,,,,,,,,0.997959,0.36503,0.576584,0.11791
177,0.005999,0.006631,0.967369,0.436862,0.399542,0.0117,,,,,,,,,,,,0.997735,0.362818,0.578441,0.124407
178,0.006427,0.007094,0.966593,0.43135,0.401855,0.011938,,,,,,,,,,,,0.99744,0.361111,0.57988,0.127668
179,0.006847,0.00748,0.96625,0.430393,0.402448,0.012454,,,,,,,,,,,,0.997287,0.36244,0.580323,0.139239
180,0.00742,0.008138,0.964329,0.420723,0.404718,0.012808,,,,,,,,,,,,0.997117,0.362204,0.580074,0.149955
181,0.007357,0.008409,0.964178,0.417778,0.407373,0.013397,,,,,,,,,,,,0.997008,0.363243,0.580138,0.154218
182,0.006786,0.007877,0.963557,0.41386,0.410401,0.0135,,,,,,,,,,,,0.996951,0.357802,0.585711,0.159465
183,0.007702,0.008759,0.962619,0.406396,0.414908,0.014347,,,,,,,,,,,,0.996623,0.361798,0.58376,0.166883
184,0.008028,0.009219,0.963391,0.403402,0.41339,0.01458,,,,,,,,,,,,0.996364,0.360258,0.585747,0.172006
